device_id,field_id,temperature,humidity,ec_value,ph_value,collect_time,data_status,longitude,latitude,altitude
DEVICE_FIELD_001_001,FIELD_001,16.3,88.46,1.778,6.95,2026-01-12 16:50:41,0,116.397083,39.909027,54.28
DEVICE_FIELD_001_001,FIELD_001,15.64,81.32,1.655,7.25,2026-01-12 17:50:41,0,116.397843,39.906875,56.46
DEVICE_FIELD_001_001,FIELD_001,10.95,75.21,1.557,7.13,2026-01-12 18:50:41,0,116.398356,39.909359,55.55
DEVICE_FIELD_001_001,FIELD_001,12.96,78.57,1.758,6.9,2026-01-12 19:50:41,0,116.396525,39.910365,51.83
DEVICE_FIELD_001_001,FIELD_001,15.78,82.52,1.825,6.7,2026-01-12 20:50:41,0,116.396193,39.910239,53.11
DEVICE_FIELD_001_001,FIELD_001,16.63,77.79,1.754,6.88,2026-01-12 21:50:41,0,116.396361,39.908952,47.61
DEVICE_FIELD_001_001,FIELD_001,16.76,73.72,1.688,7.21,2026-01-12 22:50:41,0,116.395919,39.908499,50.47
DEVICE_FIELD_001_001,FIELD_001,21.92,69.74,1.608,6.99,2026-01-12 23:50:41,0,116.397596,39.910281,39.38
DEVICE_FIELD_001_001,FIELD_001,25.05,80.77,1.662,7.3,2026-01-13 00:50:41,0,116.396952,39.908588,43.76
DEVICE_FIELD_001_001,FIELD_001,8.59,54.95,2.388,8.87,2026-01-13 01:50:41,1,116.395932,39.908753,57.14
DEVICE_FIELD_001_001,FIELD_001,27.05,79.96,1.639,6.81,2026-01-13 02:50:41,0,116.398061,39.910038,59.92
DEVICE_FIELD_001_001,FIELD_001,27.1,77.34,1.69,7.18,2026-01-13 03:50:41,0,116.396007,39.910059,56.68
DEVICE_FIELD_001_001,FIELD_001,28.48,72.07,1.667,7.14,2026-01-13 04:50:41,0,116.396804,39.909099,50.09
DEVICE_FIELD_001_001,FIELD_001,29.95,70.34,1.466,7.19,2026-01-13 05:50:41,0,116.397398,39.90812,52.73
DEVICE_FIELD_001_001,FIELD_001,31.28,68.08,1.721,7.06,2026-01-13 06:50:41,0,116.397758,39.909735,50.16
DEVICE_FIELD_001_001,FIELD_001,30.03,66.96,1.528,7.31,2026-01-13 07:50:41,0,116.397448,39.908692,49.23
DEVICE_FIELD_001_001,FIELD_001,28.3,60.11,1.564,7.05,2026-01-13 08:50:41,0,116.397317,39.909946,50.77
DEVICE_FIELD_001_001,FIELD_001,25.31,65.65,1.541,7.56,2026-01-13 09:50:41,0,116.398167,39.909381,47.42
DEVICE_FIELD_001_001,FIELD_001,26.15,63.1,1.534,6.9,2026-01-13 10:50:41,0,116.397633,39.909591,52.32
DEVICE_FIELD_001_001,FIELD_001,25.85,76.24,1.758,7.25,2026-01-13 11:50:41,0,116.397673,39.91049,63.45
DEVICE_FIELD_001_001,FIELD_001,22.78,72.97,1.769,6.92,2026-01-13 12:50:41,0,116.397348,39.909697,56.39
DEVICE_FIELD_001_001,FIELD_001,20.44,76.71,1.626,7.27,2026-01-13 13:50:41,0,116.39792,39.910179,55.66
DEVICE_FIELD_001_001,FIELD_001,20.57,69.56,1.7,7.05,2026-01-13 14:50:41,0,116.397882,39.911094,59.01
DEVICE_FIELD_001_001,FIELD_001,13.71,81.03,1.886,7.21,2026-01-13 15:50:41,0,116.396316,39.909545,43.35
DEVICE_FIELD_001_001,FIELD_001,18.94,70.64,1.718,7.01,2026-01-13 16:50:41,0,116.39881,39.908522,36.78
DEVICE_FIELD_001_001,FIELD_001,14.7,92.75,1.851,7.33,2026-01-13 17:50:41,0,116.395767,39.911754,53.49
DEVICE_FIELD_001_001,FIELD_001,14.14,76.58,1.713,7.21,2026-01-13 18:50:41,0,116.397303,39.908783,47.06
DEVICE_FIELD_001_001,FIELD_001,14.6,75.12,1.515,6.69,2026-01-13 19:50:41,0,116.396721,39.91008,46.56
DEVICE_FIELD_001_001,FIELD_001,12.4,80.56,1.763,7.28,2026-01-13 20:50:41,0,116.396823,39.909707,62.87
DEVICE_FIELD_001_001,FIELD_001,19.25,70.78,1.613,7.19,2026-01-13 21:50:41,0,116.396874,39.909325,52.05
DEVICE_FIELD_001_001,FIELD_001,16.92,82.3,1.697,7.02,2026-01-13 22:50:41,0,116.396104,39.908961,51.12
DEVICE_FIELD_001_001,FIELD_001,20.35,78.42,1.849,7.03,2026-01-13 23:50:41,0,116.396052,39.90995,52.8
DEVICE_FIELD_001_001,FIELD_001,20.6,66.51,1.52,7.07,2026-01-14 00:50:41,0,116.397904,39.90991,54.45
DEVICE_FIELD_001_001,FIELD_001,23.42,72.5,1.732,7.13,2026-01-14 01:50:41,0,116.39762,39.90864,46.87
DEVICE_FIELD_001_001,FIELD_001,23.27,75.4,1.862,7.1,2026-01-14 02:50:41,0,116.396724,39.90978,45.75
DEVICE_FIELD_001_001,FIELD_001,27.2,72.69,1.568,7.43,2026-01-14 03:50:41,0,116.395475,39.907531,51.55
DEVICE_FIELD_001_001,FIELD_001,17.72,74.03,0.465,7.42,2026-01-14 04:50:41,1,116.399388,39.910967,50.9
DEVICE_FIELD_001_001,FIELD_001,34.86,67.47,1.448,7.0,2026-01-14 05:50:41,0,116.397087,39.90784,53.51
DEVICE_FIELD_001_001,FIELD_001,30.18,72.3,1.614,7.37,2026-01-14 06:50:41,0,116.397308,39.909336,52.09
DEVICE_FIELD_001_001,FIELD_001,31.06,75.65,1.632,6.79,2026-01-14 07:50:41,0,116.398487,39.907573,52.63
DEVICE_FIELD_001_001,FIELD_001,26.61,71.82,1.823,7.31,2026-01-14 08:50:41,0,116.397522,39.910515,52.24
DEVICE_FIELD_001_001,FIELD_001,27.4,73.19,1.66,7.26,2026-01-14 09:50:41,0,116.395271,39.90815,58.76
DEVICE_FIELD_001_001,FIELD_001,23.92,74.1,1.727,7.11,2026-01-14 10:50:41,0,116.396616,39.908012,55.25
DEVICE_FIELD_001_001,FIELD_001,25.87,70.96,1.697,7.32,2026-01-14 11:50:41,0,116.397755,39.910035,48.59
DEVICE_FIELD_001_001,FIELD_001,21.99,76.01,1.648,6.95,2026-01-14 12:50:41,0,116.3953,39.909696,56.74
DEVICE_FIELD_001_001,FIELD_001,27.61,37.77,-0.149,7.51,2026-01-14 13:50:41,1,116.397017,39.908766,48.76
DEVICE_FIELD_001_001,FIELD_001,19.03,76.13,1.775,7.3,2026-01-14 14:50:41,0,116.397381,39.909477,53.19
DEVICE_FIELD_001_001,FIELD_001,19.44,79.06,1.685,7.03,2026-01-14 15:50:41,0,116.39852,39.908506,53.15
DEVICE_FIELD_001_001,FIELD_001,18.44,76.98,1.557,7.27,2026-01-14 16:50:41,0,116.397079,39.908358,46.43
DEVICE_FIELD_001_001,FIELD_001,13.13,83.14,1.749,7.01,2026-01-14 17:50:41,0,116.397035,39.910645,54.15
